OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,CHASSIS7,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,HEIGHT,IMPORT_STATUS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,ROAD_TRANSPORT_CODE,SUBMODEL,TLA,TRANSMISSION_TYPE,VDAM_WEIGHT,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
6987,RED,STATION WAGON,1997,,2012,12,2050,0,NEW,FORD,FOCUS,DIESEL,2,5,IMPORTED BUILT-UP,GERMANY,120,NONE,,TREND 2.0 W DIESEL,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6988,BLACK,SALOON,5900,6P41195,1974,1,0,0,RE-REG,CHRYSLER,VALIANT,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NEW ZEALAND,,LIMOUSINE,WAIPA DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1974
6989,SILVER,STATION WAGON,1980,WVWZZZ1,2011,5,1980,0,USED,VOLKSWAGEN,GOLF,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,0,JAPAN,,WAGEN 2.0,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
6990,WHITE,STATION WAGON,1998,RM12-03,2011,4,1885,0,USED,NISSAN,LIBERTY,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
6991,SILVER,STATION WAGON,2360,ANH10-0,2012,9,2240,0,USED,TOYOTA,ALPHARD,PETROL,0,8,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,HOROWHENUA DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
6992,SILVER,SALOON,2170,WBAET16,2011,8,1715,0,USED,BMW,320,PETROL,0,5,IMPORTED BUILT-UP,GERMANY,0,JAPAN,,I,TIMARU DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
6993,BLACK,STATION WAGON,1990,RD4-100,2011,4,1685,0,USED,HONDA,CRV,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
6994,BROWN,STATION WAGON,3456,,2011,3,2720,0,NEW,TOYOTA,HIGHLANDER,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,201,NONE,,3.5P LTD 4WD WGN5 5A,CLUTHA DISTRICT,5-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6995,SILVER,HATCHBACK,1490,Z23W-03,2011,10,1345,0,USED,MITSUBISHI,COLT,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,PLUS,PALMERSTON NORTH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
6996,PURPLE,SPORTS CAR,2990,,1994,10,0,0,NEW,BMW,M3,PETROL,0,0,UNKNOWN,GERMANY,210,NONE,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1994
6997,GREEN,STATION WAGON,2150,RA1-122,2008,2,1905,0,USED,HONDA,ODYSSEY,PETROL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
6998,WHITE,CONVERTIBLE,1600,6FPAAAU,1990,4,0,0,NEW,FORD,CAPRI,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
6999,GREY,STATION WAGON,1320,DW3W-32,2008,1,1195,0,USED,MAZDA,DEMIO,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1999
7000,RED,STATION WAGON,2982,KZN130-,2009,1,2185,0,USED,TOYOTA,HILUX,DIESEL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,SURF,WAIMAKARIRI DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1995
10001,WHITE,SALOON,1600,,1989,10,0,0,NEW,VOLKSWAGEN,GOLF,PETROL,0,5,UNKNOWN,GERMANY,0,NONE,,GL,HASTINGS DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1989
10002,BLUE,SALOON,2693,,1987,8,0,0,NEW,BMW,525EE,PETROL,2,5,UNKNOWN,GERMANY,0,NONE,,,DUNEDIN CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1987
10003,WHITE,SALOON,2000,UU12A03,1989,7,0,0,NEW,NISSAN,BLUEBIRD,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,SGS,TIMARU DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1989
10004,GREEN,SALOON,4637,1C4097N,1967,12,0,0,NEW,CHEVROLET,IMPALA,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,MARLBOROUGH DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1967
10005,CREAM,STATION WAGON,1147,GA13921,1967,12,0,0,NEW,TRIUMPH,1200,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,WHANGAREI DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1964
10006,GOLD,SALOON,1500,AOS1119,1975,3,0,0,NEW,TRIUMPH,TOLEDO,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,UPPER HUTT CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1975
10007,BLUE,SALOON,1471,PR20411,1969,10,0,0,NEW,ISUZU,BELLET,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,FAR NORTH DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1969
10008,GREY,SPORTS CAR,5735,7A9CSC5,2003,12,0,0,SCRATCH,LVVTA,COBRA,PETROL,0,2,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,MARLBOROUGH DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
